Id,Label,0,1,2,indegree,outdegree,degree,modularity_class,eigencentrality,stat_inf_class,componentnumber,strongcompnum
57194784138,57194784138,Winnie Torres,1,false,7,5,12,11,0.048683,5,0,1192
57218285725,57218285725,Pedro Nascimento,1,false,8,4,12,11,0.055569,5,0,1191
55769311100,55769311100,Tácito Neves,1,false,9,3,12,11,0.063267,5,0,1190
57215527633,57215527633,Andressa Oliveira,1,false,10,2,12,11,0.071851,5,0,1189
57224359492,57224359492,Gustavo Costa Gomes de Melo,1,false,12,9,21,11,0.087424,5,0,1183
56363591700,56363591700,LUIZ FELIPE DE QUEIROZ SILVEIRA,12,true,16,89,105,0,0.128227,4,0,1182
57212023194,57212023194,Alessandro De Souza Lima,1,false,6,3,9,4,0.019763,0,0,1235
55493359300,55493359300,Luciano Sales Barros,1,false,7,28,35,5,0.023748,15,0,1234
6602549353,6602549353,ANDRÉ LAURINDO MAITELLI,10,true,20,62,82,4,0.120776,6,0,1177
57212018710,57212018710,Andrew Vinícius Silva Moreira,1,false,9,0,9,4,0.044736,0,0,1176
36605833100,36605833100,Renan P. Araújo,1,false,6,1,7,4,0.03541,6,0,1175
57198499860,57198499860,Glauber Rodrigues Leite,1,false,7,0,7,4,0.040913,6,0,1174
57188588045,57188588045,Harrisson D.A. Santos,1,false,5,2,7,4,0.042387,5,0,1173
7202091914,7202091914,T. Yoneyama,1,false,6,1,7,4,0.048418,5,0,1172
8295156500,8295156500,Glauber T. Silva,1,false,7,0,7,4,0.055169,5,0,1171
57212199104,57212199104,Igor Cavalcante Torres,1,false,5,6,11,5,0.044351,5,0,1115
57203395728,57203395728,André F. O. A. Dantas,1,false,8,13,21,5,0.054733,5,0,1114
7004096252,7004096252,CARLOS EDUARDO TRABUCO DOREA,13,true,26,107,133,5,0.174132,14,0,1113
58100094900,58100094900,Alana Kelly Xavier Santos,1,false,8,3,11,5,0.08072,5,0,1042
58100424600,58100424600,Carlos Henrique Torres de Andrade,1,false,9,2,11,5,0.090752,5,0,1041
16678383900,16678383900,Davi Bibiano Brito,1,false,10,1,11,5,0.101839,5,0,1040
36655728700,36655728700,Daniel Guerra Vale Da Fonseca,1,false,11,0,11,5,0.114072,5,0,1039
37078903900,37078903900,Leonardo C.T. Bezerra,1,false,3,3,6,4,0.024523,6,0,1170
59269996600,59269996600,Marcus A. Nunes,1,false,4,2,6,4,0.028342,6,0,1169
