Scopus refine results values

"Your query : (AF-ID(60023857) AND SUBJAREA(ENGI) AND ( LIMIT-TO ( AF-ID,""Universidade Federal do Rio Grande do Norte"" 60023857) )  AND ( LIMIT-TO ( SUBJAREA,""ENGI"" ) ) )"


Number of results : 3675

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
,,,,"Silva, M.","20",,,,,,,"Ifmbe Proceedings","13","Composite Materials","45","Universidade Federal do Maranhão","19","Consejo Nacional para Investigaciones Científicas y Tecnológicas","6","Slovenia","2",,,,
,,,,"Vasconcelos, M.S.","20",,,,,,,"Przeglad Elektrotechniczny","13","Antennas","44","CICECO – Instituto de Materiais de Aveiro","18","Department of Science and Technology, Ministry of Science and Technology, India","6","Uruguay","2",,,,
,,,,"Araújo, J.A.","19",,,,,,,"Quality And Reliability Engineering International","13","Brazil","44","Sapienza Università di Roma","18","Fundació Catalana de Trasplantament","6","Bangladesh","1",,,,
,,,,"Chaves, R.","19",,,,,,,"IFAC Proceedings Volumes IFAC Papersonline","12","Fault Detection","44","Universidade Federal de Uberlândia","17","Ministério da Ciência e Tecnologia","6","Bulgaria","1",,,,
,,,,"Kulesza, U.","19",,,,,,,"Journal Of Food Measurement And Characterization","12","Optoelectronic Devices","44","Universidade Federal de Goiás","17","Ministério da Saúde","6","Cameroon","1",,,,
,,,,"Li, M.S.","19",,,,,,,"Journal Of The Mechanical Behavior Of Biomedical Materials","12","Wavelet Transforms","44","Instituto Federal de Educação, Ciência e Tecnologia da Bahia – IFBA","16","National Institutes of Health","6","Costa Rica","1",,,,
,,,,"Silva, I.S.","19",,,,,,,"Materials Research Bulletin","12","Particle Size Analysis","42","Universität Zürich","15","Natural Sciences and Engineering Research Council of Canada","6","Cuba","1",,,,
,,,,"Silveira, L.F.Q.","19",,,,,,,"Microelectronics Journal","12","Zeolites","42","Lancaster University","15","Seventh Framework Programme","6","Cyprus","1",,,,
,,,,"Bessa, W.M.","18",,,,,,,"Revista Ibracon De Estruturas E Materiais","12","Finite Element Method","41","Comando Geral de Tecnologia Aeroespacial","15","Agência Espacial Brasileira","5","Ethiopia","1",,,,
,,,,"Giarola, A.J.","18",,,,,,,"Sbse 2018 7th Brazilian Electrical Systems Symposium","12","Microwave Antennas","41","Universidade Estadual da Paraiba","15","Comisión Nacional de Investigación Científica y Tecnológica","5","Hungary","1",,,,
,,,,"Melo, M.A.F.","18",,,,,,,"Urbe","12","Morphology","41","Instituto de Engenharia Mecânica","15","Fundação de Amparo à Pesquisa e Inovação do Estado de Santa Catarina","5","Jordan","1",,,,
,,,,"Neto, A.","18",,,,,,,"Desalination And Water Treatment","11","Tribology","41","Instituto Federal de Educação, Ciência e Tecnologia do Piauí – IFPI","15","Fundação de Empreendimentos Científicos e Tecnológicos","5","Macao","1",,,,
,,,,"Albuquerque, M.R.M.L.","17",,,,,,,"Journal Of Cleaner Production","11","Automation","40","Federal Rural University of Semi-Arid DCME-UFERSA","13","Instituto de Telecomunicações","5","Malaysia","1",,,,
,,,,"Chiavone-Filho, O.","17",,,,,,,"Journal Of Physics C Solid State Physics","11","Electromagnetic Wave Polarization","39","Federal Rural University of Semi-Arid","13","Ministerio de Educación, Gobierno de Chile","5","Philippines","1",,,,
,,,,"Costa, T.H.C.","17",,,,,,,"Mathematics","11","Embedded Systems","39","Centro Brasileiro de Pesquisas Físicas","13","Ministero dell’Istruzione, dell’Università e della Ricerca","5","Senegal","1",,,,
,,,,"Freire, R.C.S.","17",,,,,,,"Renewable Energy And Power Quality Journal","11","FSS","39","Universidade Estadual de Ponta Grossa","13","Pró-Reitoria de Pesquisa, Universidade Federal do Rio Grande do Sul","5","Serbia","1",,,,
,,,,"Morales, M.A.","17",,,,,,,"Engineering Materials","10","Sustainable Development","39","Laboratorio Nacional de Luz Sincrotron","13","Russian Foundation for Basic Research","5","Seychelles","1",,,,
,,,,"Santiago, R.H.N.","17",,,,,,,"Gestao E Producao","10","Compressive Strength","38","Universidade Estadual de Maringá","13","Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung","5","Taiwan","1",,,,
,,,,"Souza, J.C.M.","17",,,,,,,"Iet Microwaves Antennas And Propagation","10","Design","37","Centro de Astrofísica da Universidade do Porto","13","Simons Foundation","5","Ukraine","1",,,,
,,,,"Xavier-De-Souza, S.","17",,,,,,,"International Journal Of Fatigue","10","Numerical Methods","37","Universidade Federal de Juiz de Fora","12","U.S. Department of Health and Human Services","5","Viet Nam","1",,,,
,,,,"Zinner, L.B.","17",,,,,,,"Journal Of Intelligent And Fuzzy Systems","10","Quality Control","37","Universidade Federal de São Paulo","12","Ulsan National Institute of Science and Technology","5","Undefined","14",,,,
,,,,"Almeida, R.L.J.","16",,,,,,,"Rio Pipeline Conference And Exposition Technical Papers","10","Reinforcement","37","Universidad de Granada","12","Universidade Estadual Paulista","5",,,,,,
,,,,"Bourguignon, M.","16",,,,,,,"Acta Scientiarum Technology","9","Zirconia","37","Universidade Federal do Espírito Santo","12","Universidade Federal do Rio Grande do Sul","5",,,,,,
,,,,"Cavalcante, E.","16",,,,,,,"Biomedical Engineering Online","9","Cements","36","Centro Nacional de Pesquisa em Energia e Materiais","12","Air Force Office of Scientific Research","4",,,,,,
,,,,"Dimuro, G.P.","16",,,,,,,"Ecs Transactions","9","Chemistry","36","Edmond and Lily Safra International Institute of Neuroscience","11","Consejo Nacional de Ciencia y Tecnología","4",,,,,,
